,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10,,湖南福兴瑞汽车销售服务有限公司,"114.00970971765422,22.53971934319701",,湖南省长沙市长沙县中南汽车世界F08栋F08  Zhongnan Auto World  Changsha County  Changsha  Hunan Province,销售：0731-82878988;服务：0731-82878977,410100,广东省,440000,深圳市,440300,福田区,440304,,0731-82878988,,,,,,,销售：0731-82878988;服务：0731-82878977,深圳市,32530,,0731-82878988,0731-82878988,,,,,,0731-82878977,2020-11-09 15:01:59,2020-11-09 15:01:59,A52602,
11,,江苏福联景山分公司,"114.01049104080009,22.540167256422695",,南京市江宁区天元中路123号No. 123  Tianyuan Middle Road  Jiangning District  Nanjing,销售：025-52105888;服务：,211106,广东省,440000,深圳市,440300,福田区,440304,,025-52105888,,,,,,,销售：025-52105888;服务：,深圳市,21990,,025-52105888,025-52105888,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A34300,
12,,厦门信达思明分公司,"118.09981223291635,24.455576877909508",,厦门市思明区筼筜街道体育路36号（七星汽车城内）No. 36  Tiyu Road  Yundang Street  Siming District  Xiamen City (in Qixing Automobile City),销售：;服务：,,福建省,350000,厦门市,350200,思明区,350203,,,,,,,,,销售：;服务：,厦门市,30420,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A04532,
13,,邯郸和誉丛台区分公司,"114.51180612554205,36.64896483792725",,邯郸市丛台区东环路联华汽车广场,销售：13613106738;服务：,56000,河北省,130000,邯郸市,130400,丛台区,130403,,13613106738,,,,,,,销售：13613106738;服务：,邯郸市,80460,,13613106738,13613106738,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A35201,
14,,青岛成圆达汽车销售服务有限公司崂山分公司,"120.60421124609843,36.14465337824467",,青岛市崂山区松岭路126号No. 126 songling road  Laoshan District  Qingdao,销售：0532-86122322;服务：,266043,山东省,370000,青岛市,370200,崂山区,370212,,0532-86122322,,,,,,,销售：0532-86122322;服务：,青岛市,12370,,0532-86122322,0532-86122322,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A52862,
15,,沧州市德华任丘分公司,"116.11836065276246,38.72398173362577",,沧州市任丘市经济技术开发区迎宾大道东侧East side of Yingbin Avenue  Economic and Technological Development Zone  Renqiu  Cangzhou City,销售：15127734588;服务：,,河北省,130000,沧州市,130900,任丘市,130982,,15127734588,,,,,,,销售：15127734588;服务：,沧州市,80480,,15127734588,15127734588,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A35848,
16,,汕头市亿海福驰汽车销售有限公司,"116.77248390505667,23.37340896931108",,汕头市金平区潮汕路与金凤路交汇处东北侧之三The northeast side of the intersection of Chaoshan Road and Jinfeng Road  Jinping District  Shantou City,销售：0754-88112168;服务：0754-88224192,515000,广东省,440000,汕头市,440500,龙湖区,440507,,0754-88112168,,,,,,,销售：0754-88112168;服务：0754-88224192,汕头市,32260,,0754-88112168,0754-88112168,,,,,,0754-88224192,2020-11-09 15:01:59,2020-11-09 15:01:59,A53166,
17,,洛阳凯捷济源分公司,"112.62114627661806,35.07773256832675",,河南省济源市新济路苗店（车管所东2000米）Miaodian  Xinji Road  Jiyuan City  Henan Province,销售：;服务：,,河南省,410000,,419000,济源市,419001,,,,,,,,,销售：;服务：,,80600,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A33919,
18,,黑龙江省天拓汽车销售服务有限公司绥化分公司,"126.01567164231946,46.08962360093851",,绥化市北林区丰泽锦源小区32号楼6号商服No. 6 Commercial Service  Building 32  Fengze Jinyuan Community  Beilin District  Suihua City,销售：;服务：,,黑龙江省,230000,绥化市,231200,肇东市,231282,,,,,,,,,销售：;服务：,绥化市,10810,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A03875,
19,,武威腾瀚金昌分公司,"102.65289108484622,37.94044980486713",,甘肃省金昌市河雅路亚通汽车城5号门店No.5 store Yatong Automarket heya road  jinchang Gansu,销售：17793518188;服务：,737100,甘肃省,620000,武威市,620600,凉州区,620602,,17793518188,,,,,,,销售：17793518188;服务：,武威市,51530,,17793518188,17793518188,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A37921,
20,,芜湖福禧汽车销售服务有限公司宣城分公司,"118.59387219702798,31.145005961581393",,宣城市宣州区水阳江西大道与玉荷路交叉口Intersection of Shuiyang Jiangxi Avenue and Yuhe Road  Xuanzhou District  Xuancheng City,销售：0563-2620666;服务：,,安徽省,340000,芜湖市,340200,湾沚区,340221,,0563-2620666,,,,,,,销售：0563-2620666;服务：,芜湖市,21740,,0563-2620666,0563-2620666,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A29715,
21,,武汉黄浦威汉汽车服务有限责任公司孝感分公司,"114.25741273261792,30.635060695442814",,孝感市107复线澴川路289号No.289 Huanchuan Rd. 107Line Xiaogan,销售：0712-18086000193;服务：0712-2336665,432100,湖北省,420000,武汉市,420100,江汉区,420103,,0712-18086000193,,,,,,,销售：0712-18086000193;服务：0712-2336665,武汉市,20440,,0712-18086000193,0712-18086000193,,,,,,0712-2336665,2020-11-09 15:01:59,2020-11-09 15:01:59,A05753,
22,,宝鸡市福信汽车销售服务有限公司杨凌分公司,"107.30800475520749,34.35519778586179",,咸阳市杨凌示范区北环路四七七库以东中天致达院内In the courtyard of Zhongtian Zhida  east of Siqiqiku  Beihuan Road  Yangling District  Xianyang City,销售：029-87088222;服务：,,陕西省,610000,宝鸡市,610300,陈仓区,610304,,029-87088222,,,,,,,销售：029-87088222;服务：,宝鸡市,50460,,029-87088222,029-87088222,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A19779,
23,,江苏富骏汽车贸易有限公司尚骏汽车分公司,"114.01049104080009,22.540167256422695",,苏州市吴中区木渎镇花苑东路199-1号NO.199-1，Huayuan East Road  Mudu Town  Wuzhong District  Suzhou  Jiangsu Province,销售：0512-80991000;服务：,,广东省,440000,深圳市,440300,福田区,440304,,0512-80991000,,,,,,,销售：0512-80991000;服务：,深圳市,20320,,0512-80991000,0512-80991000,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A02916,
24,,吉林省神驰汽车销售服务有限公司高新分公司,"125.26318944990064,43.84137898698894",,吉林省长春市高新开发区硅谷大街3500号东一层二层No.3500  Guigu Street  High-tech development Zone  Changchun  Jilin,销售：;服务：,,吉林省,220000,长春市,220100,朝阳区,220104,,,,,,,,,销售：;服务：,长春市,10710,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A03884,
25,,上海格林威福誉中环分公司,"121.41484497989708,31.286520498673116",,上海市杨浦区军工路1286-1号,销售：021-6512-8679;服务：,200082,上海市,310000,上海市,310100,宝山区,310113,,021-6512-8679,,,,,,,销售：021-6512-8679;服务：,上海市,20100,,021-6512-8679,021-6512-8679,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A35101,
26,,诸暨市中大汽车有限公司嵊州分公司,"120.2160561970854,29.753171428690315",,嵊州市环城南路658号,销售：;服务：,,浙江省,330000,绍兴市,330600,诸暨市,330681,,,,,,,,,销售：;服务：,绍兴市,20630,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A08772,
27,,贵州万福六盘水分公司,"104.88374524208706,26.58766101121875",,六盘水市钟山经济开发区创新路1号1栋福特店Building1 No1 Innovation Rd  Zhongshan Economy development Zone  Liupanshui,销售：;服务：,,贵州省,520000,六盘水市,520200,钟山区,520201,,,,,,,,,销售：;服务：,六盘水市,50710,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A04594,
28,,怀化万友汽车销售服务有限公司,"110.01969972299383,27.577928730180062",,湖南省怀化市鹤城区南环路南侧（高铁站北侧，福特汽车城4S店）South side of South Ring Road  Hecheng District  Huaihua City  Hunan Province (4S shop of Ford Motor City  north side of high-speed rail station),销售：0745-2297777;服务：0745-2386222,418000,湖南省,430000,怀化市,431200,鹤城区,431202,,0745-2297777,,,,,,,销售：0745-2297777;服务：0745-2386222,怀化市,32540,,0745-2297777,0745-2297777,,,,,,0745-2386222,2020-11-09 15:01:59,2020-11-09 15:01:59,A52641,
29,,沈阳卓多开原分公司,"124.05722638898045,42.56047121647785",,铁岭开原市哈大路342号北侧开原市二手车交易市场Kaiyuan Used Car Market  No. 342  Hada Road  Kaiyuan  Tieling,销售：;服务：,,辽宁省,210000,铁岭市,211200,开原市,211282,,,,,,,,,销售：;服务：,铁岭市,11340,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A33762,
30,,沈阳卓多银州分公司,"123.8606458959434,42.30095761366636",,辽宁省铁岭市银州区柴河街南段137-1号No. 137-1  South of Chaihe Street  Yinzhou District  Tieling  Liaoning Province,销售：;服务：,,辽宁省,210000,铁岭市,211200,银州区,211202,,,,,,,,,销售：;服务：,铁岭市,11340,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A33762,
31,,大庆天庆昌林甸分公司,"125.12233073609072,46.60149144800246",,黑龙江省大庆市林甸县南城路西三段路北North of Nancheng Road  Lindian County  Daqing City,销售：;服务：,,黑龙江省,230000,大庆市,230600,萨尔图区,230602,,,,,,,,,销售：;服务：,大庆市,80800,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A34086,
32,,大庆天庆昌北安分公司,"125.12233073609072,46.60149144800246",,北安市202国道北安汽车产业园北安昊瑞汽车销售服务有限公司202G  Bei’an Haorui Auto Sales & Service Co.  Ltd.  Bei’an Auto Industry Park  Beian  Heilongjiang,销售：;服务：,,黑龙江省,230000,大庆市,230600,萨尔图区,230602,,,,,,,,,销售：;服务：,大庆市,80800,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A34086,
33,,辽宁路赛得阜新分公司,"121.68823096076594,42.036517881710424",,辽宁省阜新市经济技术开发区三路9号No. 9  Road 3 Economic and Technological development zone  Fuxin  Liaoning,销售：0418-2298666;服务：,123000,辽宁省,210000,阜新市,210900,细河区,210911,,0418-2298666,,,,,,,销售：0418-2298666;服务：,阜新市,10050,,0418-2298666,0418-2298666,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A33820,
34,,青岛成圆达汽车销售服务有限公司,"120.40110992805201,36.07842415108086",,青岛市李沧区重庆中路788号No. 788 Middle Chongiqng Rd  Licang district  Qingdao,销售：（0532）86122333;服务：（0532）86122307,266000,山东省,370000,青岛市,370200,市南区,370202,,（0532）86122333,,,,,,,销售：（0532）86122333;服务：（0532）86122307,青岛市,12370,,（0532）86122333,（0532）86122333,,,,,,（0532）86122307,2020-11-09 15:01:59,2020-11-09 15:01:59,A52862,
35,,吉林省神驰汽车销售服务有限公司通化分公司,"125.26318944990064,43.84137898698894",,通化市通化开发区新胜北路门牌号0951-1，2号商业用房No. 0951-1  Xinsheng North Road  Tonghua Development Zone  Tonghua City (Commercial Building No. 2),销售：;服务：,,吉林省,220000,长春市,220100,朝阳区,220104,,,,,,,,,销售：;服务：,长春市,10710,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A03884,
36,,重庆福翔之星汽车销售服务有限公司,"106.59454293682063,29.642460000410843",,重庆市永川区昌州大道中段6号No. 6  Middle Section of Changzhou Avenue  Yongchuan District  Chongqing,销售：023-49561222;服务：,402160,重庆市,500000,重庆市,500100,渝北区,500112,,023-49561222,,,,,,,销售：023-49561222;服务：,重庆市,52150,,023-49561222,023-49561222,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A52861,
37,,淮北福茂汽车销售服务有限公司,"116.81651882617685,33.96592162729794",,安徽省淮北市相山区骏驰路南福特4S店（寇湾汽车城）South of Junchi Road  Kouwan Automobile City  Xiangshan District  Huaibei City  Anhui Province,销售：;服务：0561-3868080,235199,安徽省,340000,淮北市,340600,相山区,340603,,,,,,,,,销售：;服务：0561-3868080,淮北市,22340,,0561-3868080,0561-3868080,,,,,,0561-3868080,2020-11-09 15:01:59,2020-11-09 15:01:59,A52562,
38,,盐城大丰德福东台分公司,"120.51848942784702,33.20906423885103",,东台市城东新区永宁国际汽车城Yongning Auto City  Chengdong district  Dongtai,销售：;服务：0515-85336016,,江苏省,320000,盐城市,320900,大丰区,320904,,,,,,,,,销售：;服务：0515-85336016,盐城市,21400,,0515-85336016,0515-85336016,,,,,,0515-85336016,2020-11-09 15:01:59,2020-11-09 15:01:59,A34200,
39,,贵州万福汽车销售服务有限公司凯里分公司,"106.76177760226672,26.409334417114284",,贵州凯里市经纬国际汽车城A区19栋负3楼Floor B3  Building 19  Area A  Jingwei International Automobile City  Kaili City  Guizhou,销售：;服务：,,贵州省,520000,贵阳市,520100,花溪区,520111,,,,,,,,,销售：;服务：,贵阳市,50710,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A04594,
40,,邢台沧龙桥东区分公司,"114.52388510183482,37.08302208485386",,邢台市桥东区北外环梁庄北路大众广场（捷达4S店旁）Mass Plaza  Liangzhuang North Road  Qiaodong District  Xingtai City (next to Jetta 4S shop),销售：18503192231;服务：,,河北省,130000,邢台市,130500,襄都区,130502,,18503192231,,,,,,,销售：18503192231;服务：,邢台市,11150,,18503192231,18503192231,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A30295,
41,,迁安万荣泽福丰安路分公司,"118.71903913416094,40.01138776542518",,迁安市丰安大路西侧754号No.754 West of Fengan Road  Qianan City,销售：13333251010;服务：,,河北省,130000,唐山市,130200,迁安市,130283,,13333251010,,,,,,,销售：13333251010;服务：,唐山市,80430,,13333251010,13333251010,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A34439,
42,,肇庆美轮庆福云浮分公司,"112.51905303352545,23.113103543238616",,云浮市云城区罗沙324国道过境公路稔塘村路段 （美轮车城内）Road Section of Mintang Village  Road 324  Luosha National Road  Yuncheng District  Yunfu City,销售：0766-8328222;服务：,527300,广东省,440000,肇庆市,441200,端州区,441202,,0766-8328222,,,,,,,销售：0766-8328222;服务：,肇庆市,30870,,0766-8328222,0766-8328222,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A17115,
43,,广西广福汽车销售服务有限公司崇左分公司,"119.758878356398,31.659784291798193",,崇左市江州区新城区花山路179号No. 179 Huashan Road  Xincheng District  Jiangzhou District  Chongzuo City,销售：;服务：,,江苏省,320000,常州市,320400,武进区,320412,,,,,,,,,销售：;服务：,常州市,30770,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A19495,
44,,龙口裕通莱阳裕隆分公司,"120.49684076975444,37.65974678727845",,山东省莱阳市长江路一号No. 1 Changjiang Rd  Laiyang  Shandong,销售：;服务：,,山东省,370000,烟台市,370600,龙口市,370681,,,,,,,,,销售：;服务：,烟台市,11780,,,,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A24275,
45,,安徽万友汽车销售服务有限公司,"114.01054900608841,22.53945954362143",,合肥市高新区长江西路与长宁大道交口中国长安万有国际汽车城内,销售：0550-65189600;服务：,,广东省,440000,深圳市,440300,福田区,440304,,0550-65189600,,,,,,,销售：0550-65189600;服务：,深圳市,22740,,0550-65189600,0550-65189600,,,,,,,2020-11-09 15:01:59,2020-11-09 15:01:59,A53002,
46,,烟台海之润汽车销售有限公司,"121.38174042061782,37.49235421870884",,烟台市芝罘区机场路238号No. 238  Airport Rd. Zhifu  Yantai,销售：;服务：0535-6655517,264000,山东省,370000,烟台市,370600,芝罘区,370602,,,,,,,,,销售：;服务：0535-6655517,烟台市,10970,,0535-6655517,0535-6655517,,,,,,0535-6655517,2020-11-09 15:01:59,2020-11-09 15:01:59,A16995,
47,,溧阳福尔特汽车销售服务有限公司,"119.51163382441636,31.4738775173812",,溧阳市溧城镇城北大道8号No.8 Chengbei Avenue Licheng Town Liyang,销售：;服务：0519-80683900,213300,江苏省,320000,常州市,320400,溧阳市,320481,,,,,,,,,销售：;服务：0519-80683900,常州市,20960,,0519-80683900,0519-80683900,,,,,,0519-80683900,2020-11-09 15:01:59,2020-11-09 15:01:59,A17155,
48,,揭阳恒诚汽车销售有限公司,"116.40688997254338,23.57663615658937",,广东省揭阳市东山区206国道沙岗村路段一号路南侧Shangang Cun Section  206 National Highway  Dongshan District  Jieyang,销售：;服务：0663-8291122,522000,广东省,440000,揭阳市,445200,揭东区,445203,,,,,,,,,销售：;服务：0663-8291122,揭阳市,30890,,0663-8291122,0663-8291122,,,,,,0663-8291122,2020-11-09 15:01:59,2020-11-09 15:01:59,A20239,
49,,新疆福荣汽车销售服务有限公司,"117.01771138737367,36.65842967847854",,新疆省克拉玛依市西环路4号［汽车城］Auto Center  No. 4 West-ring Rd  Kelamayi  Xinjiang,销售：;服务：0990-6912831,834000,山东省,370000,济南市,370100,市中区,370103,,,,,,,,,销售：;服务：0990-6912831,济南市,50630,,0990-6912831,0990-6912831,,,,,,0990-6912831,2020-11-09 15:01:59,2020-11-09 15:01:59,A16195,
50,,莱芜华贸盛威汽车销售服务有限公司,"117.67168497261126,36.296778723719726",,莱芜市长勺北路（济莱青高速莱芜北出口南行1公里）271114Changshao North Road  Laiwu,销售：0634-6783666;服务：0634-6783456,271114,山东省,370000,济南市,370100,莱芜区,370116,,0634-6783666,,,,,,,销售：0634-6783666;服务：0634-6783456,济南市,11330,,0634-6783666,0634-6783666,,,,,,0634-6783456,2020-11-09 15:01:59,2020-11-09 15:01:59,A18015,
51,,六安信步汽车销售服务有限公司,"116.5867420287411,31.763848804109184",,六安市经济开发区经六路8号金太阳国际汽车城Auto city  No.8  Jingliu Road  Economic Development Zone  Luan,销售：;服务：0564-3358020,237000,安徽省,340000,六安市,341500,金安区,341502,,,,,,,,,销售：;服务：0564-3358020,六安市,21720,,0564-3358020,0564-3358020,,,,,,0564-3358020,2020-11-09 15:01:59,2020-11-09 15:01:59,A18995,
52,,福建吉诺汽车有限公司,"117.15519452825134,39.2362431232595",,福州市鼓楼区梅峰路148号No.148  Meifeng Road  Gulou District  Fuzhou,销售：;服务：0591-87865076,350003,天津市,120000,天津市,120100,北辰区,120113,,,,,,,,,销售：;服务：0591-87865076,天津市,31450,,0591-87865076,0591-87865076,,,,,,0591-87865076,2020-11-09 15:01:59,2020-11-09 15:01:59,A21118,
53,,厦门信达通福汽车销售服务有限公司,"118.15905089517433,24.69924844309496",,厦门同集路同安工业集中区大门右侧 Tongan Industry Zone  Tongji Rd  Xiamen,销售：0592-7398777;服务：0592-7398880,361100,福建省,350000,厦门市,350200,同安区,350212,,0592-7398777,,,,,,,销售：0592-7398777;服务：0592-7398880,厦门市,31460,,0592-7398777,0592-7398777,,,,,,0592-7398880,2020-11-09 15:01:59,2020-11-09 15:01:59,A21695,
54,,梅州铁诚汽车销售服务有限责任公司,"116.10679580255926,24.322387419871585",,广东省梅州市环市西路联合中学路,销售：0753-2219999;服务：0753-2216983,514000,广东省,440000,梅州市,441400,梅江区,441402,,0753-2219999,,,,,,,销售：0753-2219999;服务：0753-2216983,梅州市,31220,,0753-2219999,0753-2219999,,,,,,0753-2216983,2020-11-09 15:01:59,2020-11-09 15:01:59,A21135,
55,,深圳市标恒汽车有限公司,"114.23679390140182,22.73499773256897",,深圳市龙岗区中心城黄阁北路与龙平西路交汇处（龙岗数码城对面）Zhongxin Town  Longyan District  Shenzhen,销售：;服务：0755-28945182,518172,广东省,440000,深圳市,440300,龙岗区,440307,,,,,,,,,销售：;服务：0755-28945182,深圳市,31170,,0755-28945182,0755-28945182,,,,,,0755-28945182,2020-11-09 15:01:59,2020-11-09 15:01:59,A26136,
56,,沈阳中晨之星汽车销售服务有限公司,"123.44711240966214,41.8197238402371",,沈阳市大东区东陵西路4号 No.4 Donglingxi Road  Dadong District  Shengyang,销售：024-88448188;服务：024-88458909,110043,辽宁省,210000,沈阳市,210100,沈河区,210103,,024-88448188,,,,,,,销售：024-88448188;服务：024-88458909,沈阳市,11270,,024-88448188,024-88448188,,,,,,024-88458909,2020-11-09 15:01:59,2020-11-09 15:01:59,A26175,
57,,绍兴福瑞通汽车销售服务有限公司,"120.9312881997901,30.067442181602672",,浙江省上虞市汽车市场内（329国道，小越岭旁） Auto Market  Shangyu (329 National Highway  beside Xiaoyueling),销售：;服务：0575-82635656,312300,浙江省,330000,绍兴市,330600,上虞区,330604,,,,,,,,,销售：;服务：0575-82635656,绍兴市,20860,,0575-82635656,0575-82635656,,,,,,0575-82635656,2020-11-09 15:01:59,2020-11-09 15:01:59,A14396,
58,,上海协通福骋汽车销售服务有限公司,"121.46553670723456,31.306558330288805",,上海市闸北区共和新路3200号No. 3200  Gonghe New Rd  Zhabei District  Shanghai,销售：021-66307666;服务：021-66308633,200000,上海市,310000,上海市,310100,静安区,310106,,021-66307666,,,,,,,销售：021-66307666;服务：021-66308633,上海市,20920,,021-66307666,021-66307666,,,,,,021-66308633,2020-11-09 15:01:59,2020-11-09 15:01:59,A15397,
59,,南京福联二厂,"118.67392467186569,31.953439875688282",,南京市大明路217号,销售：;服务：025-52433722,210012,江苏省,320000,南京市,320100,雨花台区,320114,,,,,,,,,销售：;服务：025-52433722,南京市,20310,,025-52433722,025-52433722,,,,,,025-52433722,2020-11-09 15:01:59,2020-11-09 15:01:59,A02159,
60,,嘉峪关良志汽车销售有限公司,"98.31736862672459,39.794339309005196",,嘉峪关市迎宾东路与钢成南路交叉处东南角Accrosroads of East Yibin Rd& South Gangcheng Rd  Jiayuguan,销售：0937-6397777;服务：0937-6397168,735100,甘肃省,620000,嘉峪关市,620200,,620200,,0937-6397777,,,,,,,销售：0937-6397777;服务：0937-6397168,嘉峪关市,50550,,0937-6397777,0937-6397777,,,,,,0937-6397168,2020-11-09 15:01:59,2020-11-09 15:01:59,A18595,
61,,遂宁新清巍车业有限公司,"105.58323106997128,30.46602220076093",,遂宁市船山区中国西部现代物流港清巍汽车园）Qingwei Auto Park  West Logsict Center  Chuanshan district  Suining,销售：0825-2332888;服务：0825-2642888,629000,四川省,510000,遂宁市,510900,船山区,510903,,0825-2332888,,,,,,,销售：0825-2332888;服务：0825-2642888,遂宁市,51280,,0825-2332888,0825-2332888,,,,,,0825-2642888,2020-11-09 15:01:59,2020-11-09 15:01:59,A23316,
62,,眉山市清巍车业有限公司,"103.83508086562469,30.084921584700563",,眉山市经济开发区106线西五段5th West Section  Line 106  Economic Development Zone  Meishan,销售：028-38165007;服务：028-38165070,620020,四川省,510000,眉山市,511400,东坡区,511402,,028-38165007,,,,,,,销售：028-38165007;服务：028-38165070,眉山市,51230,,028-38165007,028-38165007,,,,,,028-38165070,2020-11-09 15:01:59,2020-11-09 15:01:59,A20176,
63,,乐清福荣汽车有限公司,"121.00534113855639,28.131568836712884",,乐清市乐成镇宁康东路457号No. 457 Est Ningkang Rd  Yuecheng town  Yueqing,销售：;服务：0577-61573669,325600,浙江省,330000,温州市,330300,乐清市,330382,,,,,,,,,销售：;服务：0577-61573669,温州市,21020,,0577-61573669,0577-61573669,,,,,,0577-61573669,2020-11-09 15:01:59,2020-11-09 15:01:59,A17775,
64,,靖江天安达汽车贸易有限公司,"120.24706880486485,32.01097334632865",,江苏省靖江市中洲西路鼎新桥西北侧国际汽贸城1号No. 1 International Auto city  Dingxin bridge  West Zhongzhou Rd  Jingjiang  Jiangsu,销售：0523-89199988;服务：0523-89199990,214500,江苏省,320000,泰州市,321200,靖江市,321282,,0523-89199988,,,,,,,销售：0523-89199988;服务：0523-89199990,泰州市,21190,,0523-89199988,0523-89199988,,,,,,0523-89199990,2020-11-09 15:01:59,2020-11-09 15:01:59,A23456,
